fault_id,module,hierarchical_path,type,inject_cycle,duration,target_ch,expected_class,fault_kind,bit_index
B0001_000,config_slave,dut.u_cfg.read_interval_inv[0],config_bit,post_config,until_detected,0,detected,cfg_read_interval_inv,0
B0001_032,config_slave,dut.u_cfg.read_interval_inv[32],config_bit,post_config,until_detected,0,detected,cfg_read_interval_inv,32
B0001_063,config_slave,dut.u_cfg.read_interval_inv[63],config_bit,post_config,until_detected,0,detected,cfg_read_interval_inv,63
B0002_000,config_slave,dut.u_cfg.base_addr_inv_q[0][0],config_bit,post_config,until_detected,0,detected,cfg_base_addr_inv_q0,0
B0002_016,config_slave,dut.u_cfg.base_addr_inv_q[0][16],config_bit,post_config,until_detected,0,detected,cfg_base_addr_inv_q0,16
B0002_031,config_slave,dut.u_cfg.base_addr_inv_q[0][31],config_bit,post_config,until_detected,0,detected,cfg_base_addr_inv_q0,31
B0003_000,config_slave,dut.u_cfg.offset_inv_q[0][0],config_bit,post_config,until_detected,0,detected,cfg_offset_inv_q0,0
B0003_016,config_slave,dut.u_cfg.offset_inv_q[0][16],config_bit,post_config,until_detected,0,detected,cfg_offset_inv_q0,16
B0003_031,config_slave,dut.u_cfg.offset_inv_q[0][31],config_bit,post_config,until_detected,0,detected,cfg_offset_inv_q0,31
B0004_000,config_slave,dut.u_cfg.mask_inv_q[0][0],config_bit,post_config,until_detected,0,detected,cfg_mask_inv_q0,0
B0004_032,config_slave,dut.u_cfg.mask_inv_q[0][32],config_bit,post_config,until_detected,0,detected,cfg_mask_inv_q0,32
B0004_063,config_slave,dut.u_cfg.mask_inv_q[0][63],config_bit,post_config,until_detected,0,detected,cfg_mask_inv_q0,63
B0005_000,config_slave,dut.u_cfg.expected_inv_q[0][0],config_bit,post_config,until_detected,0,detected,cfg_expected_inv_q0,0
B0005_032,config_slave,dut.u_cfg.expected_inv_q[0][32],config_bit,post_config,until_detected,0,detected,cfg_expected_inv_q0,32
B0005_063,config_slave,dut.u_cfg.expected_inv_q[0][63],config_bit,post_config,until_detected,0,detected,cfg_expected_inv_q0,63
B0006_000,core_logic,dut.u_core.state_inv[0],core_bit,post_config,until_detected,0,detected,core_state_inv,0
B0006_002,core_logic,dut.u_core.state_inv[2],core_bit,post_config,until_detected,0,detected,core_state_inv,2
B0006_003,core_logic,dut.u_core.state_inv[3],core_bit,post_config,until_detected,0,detected,core_state_inv,3
B0007_000,core_logic,dut.u_core.fault_or_accum_inv[0],core_bit,post_config,until_detected,0,detected,core_fault_or_accum_inv,0
B0007_032,core_logic,dut.u_core.fault_or_accum_inv[32],core_bit,post_config,until_detected,0,detected,core_fault_or_accum_inv,32
B0007_063,core_logic,dut.u_core.fault_or_accum_inv[63],core_bit,post_config,until_detected,0,detected,core_fault_or_accum_inv,63
B0008_000,fault_detector,dut.u_fault_detector.fault_status_inv[0],fault_detector_bit,post_config,until_detected,0,detected,fd_fault_status_inv,0
B0008_032,fault_detector,dut.u_fault_detector.fault_status_inv[32],fault_detector_bit,post_config,until_detected,0,detected,fd_fault_status_inv,32
B0008_063,fault_detector,dut.u_fault_detector.fault_status_inv[63],fault_detector_bit,post_config,until_detected,0,detected,fd_fault_status_inv,63
B0009_000,fault_detector,dut.u_fault_detector.error_code_inv[0],fault_detector_bit,post_config,until_detected,0,detected,fd_error_code_inv,0
B0009_004,fault_detector,dut.u_fault_detector.error_code_inv[4],fault_detector_bit,post_config,until_detected,0,detected,fd_error_code_inv,4
B0009_007,fault_detector,dut.u_fault_detector.error_code_inv[7],fault_detector_bit,post_config,until_detected,0,detected,fd_error_code_inv,7
B0010_000,heartbeat,dut.u_heartbeat.counter_inv[0],heartbeat_bit,post_config,until_detected,0,detected,heartbeat_counter_inv,0
B0010_016,heartbeat,dut.u_heartbeat.counter_inv[16],heartbeat_bit,post_config,until_detected,0,detected,heartbeat_counter_inv,16
B0010_031,heartbeat,dut.u_heartbeat.counter_inv[31],heartbeat_bit,post_config,until_detected,0,detected,heartbeat_counter_inv,31
B0011_000,top,dut.gen_read_master[0].rsp_data_inv_q[0][0],top_rsp_bit,post_config,until_detected,0,detected,top_rsp_data_inv_q0,0
B0011_032,top,dut.gen_read_master[0].rsp_data_inv_q[0][32],top_rsp_bit,post_config,until_detected,0,detected,top_rsp_data_inv_q0,32
B0011_063,top,dut.gen_read_master[0].rsp_data_inv_q[0][63],top_rsp_bit,post_config,until_detected,0,detected,top_rsp_data_inv_q0,63
B0012_000,axi_read_engine,dut.gen_read_master[0].u_read_engine.slot_accum_inv_q[0][0],read_engine_bit,post_config,until_detected,0,detected,read_engine_slot_accum_inv_q0,0
B0012_032,axi_read_engine,dut.gen_read_master[0].u_read_engine.slot_accum_inv_q[0][32],read_engine_bit,post_config,until_detected,0,detected,read_engine_slot_accum_inv_q0,32
B0012_063,axi_read_engine,dut.gen_read_master[0].u_read_engine.slot_accum_inv_q[0][63],read_engine_bit,post_config,until_detected,0,detected,read_engine_slot_accum_inv_q0,63
